PLZ4,PLZZ,PLZNAMK
8604,0,Volketswil
8605,0,Gutenswil
8306,0,Brüttisellen
8602,0,Wangen ZH
8479,0,Altikon
8311,0,Brütten
8471,0,Rutschwil
8471,2,Dägerlen
8471,3,Oberwil (Dägerlen)
8471,4,Berg (Dägerlen)
8471,5,Bänk (Dägerlen)
8421,0,Dättlikon
8474,0,Dinhard
8353,0,Elgg
8354,0,Hofstetten ZH
8355,0,Aadorf
8523,0,Hagenbuch ZH
8548,0,Ellikon a d Thur
8352,0,Elsau
8500,4,Gerlikon
8523,0,Hagenbuch ZH
8442,0,Hettlingen
8354,0,Hofstetten ZH
8412,0,Aesch (Neftenbach)
8412,1,Riet (Neftenbach)
8412,2,Hünikon
8413,0,Neftenbach
8422,0,Pfungen
8545,0,Rickenbach ZH
8545,1,Rickenbach Sulz
8354,0,Hofstetten ZH
8405,0,Winterthur
8418,0,Schlatt ZH
8472,0,Seuzach
8363,0,Bichelsee
8488,0,Turbenthal
8492,0,Wila
8495,0,Schmidrüti
8310,0,Kemptthal
8352,2,Ricketwil
8400,0,Winterthur
8404,0,Winterthur
8404,2,Reutlingen
8404,3,Stadel(Winterthur)
8405,0,Winterthur
8406,0,Winterthur
8408,0,Winterthur
8409,0,Winterthur
8482,0,Sennhof
8542,0,Wiesendangen
8545,1,Rickenbach Sulz
8483,0,Kollbrunn
8486,0,Rikon im Tösstal
8487,0,Zell ZH
8487,1,Rämismühle
8904,0,Aesch ZH
8142,0,Uitikon Waldegg
8903,0,Birmensdorf ZH
8952,0,Schlieren
8953,0,Dietikon
8951,0,Fahrweid
8954,0,Geroldswil
8102,0,Oberengstringen
8955,0,Oetwil a.d. Limmat
8902,0,Urdorf
8952,0,Schlieren
8142,0,Uitikon Waldegg
8143,2,Uetliberg
8103,0,Unterengstringen
8951,0,Fahrweid
8952,0,Schlieren
8902,0,Urdorf
8104,0,Weiningen ZH
8951,0,Fahrweid
8001,0,Zürich
8002,0,Zürich
8003,0,Zürich
8004,0,Zürich
8005,0,Zürich
8006,0,Zürich
8008,0,Zürich
8032,0,Zürich
8037,0,Zürich
8038,0,Zürich
8041,0,Zürich
8044,0,Zürich
8044,1,Gockhausen
8045,0,Zürich
8046,0,Zürich
8047,0,Zürich
8048,0,Zürich
8049,0,Zürich
8050,0,Zürich
8051,0,Zürich
8052,0,Zürich
8053,0,Zürich
8055,0,Zürich
8057,0,Zürich
8064,0,Zürich
8125,0,Zollikerberg
8134,0,Adliswil
8142,0,Uitikon Waldegg
8143,2,Uetliberg
8152,0,Glattbrugg
8952,0,Schlieren
8307,0,Effretikon
8307,2,Ottikon b.Kemptth.
8308,0,Illnau
8308,2,Agasul
8314,0,Kyburg
8482,0,Sennhof
8483,0,Kollbrunn
8493,0,Saland
8494,0,Bauma
8499,0,Sternenberg
8542,0,Wiesendangen
8543,0,Bertschikon
8543,1,Gundetswil
8543,2,Kefikon ZH
8544,0,Attikon
8546,3,Menzengrüt
3250,0,Lyss
3267,0,Seedorf BE
3270,0,Aarberg
3273,0,Kappelen
3282,0,Bargen BE
3283,0,Kallnach
3257,0,Grossaffoltern
3257,1,Ammerzwil BE
3262,0,Suberg
3226,0,Treiten
3283,0,Kallnach
3283,2,Niederried b. Kall
3250,0,Lyss
3252,0,Worben
3273,0,Kappelen
2557,0,Studen BE
3250,0,Lyss
3292,0,Busswil BE
3042,0,Ortschwaben
3045,0,Meikirch
3046,0,Wahlendorf
3036,0,Detligen
3271,0,Radelfingen
3053,5,Lätti
3251,0,Wengi b. Büren
3251,2,Ruppoldsried
3254,0,Messen
3255,0,Rapperswil BE
3256,0,Dieterswil
3256,2,Bangerten
3256,3,Seewil
3053,0,Münchenbuchsee
3054,0,Schüpfen
3035,0,Frieswil
3266,0,Wiler b. Seedorf
3267,0,Seedorf BE
3268,0,Lobsigen
3270,0,Aarberg
4912,0,Aarwangen
4922,0,Bützberg
4938,0,Rohrbach
4944,0,Auswil
4912,0,Aarwangen
4913,0,Bannwil
3368,0,Bleienbach
4917,2,Busswil b.Melchnau
4955,0,Gondiswil
4900,0,Langenthal
4916,0,Untersteckholz
4924,0,Obersteckholz
3368,0,Bleienbach
4932,0,Lotzwil
4919,0,Reisiswil
4932,2,Gutenburg
4934,0,Madiswil
4935,0,Leimiswil
4936,0,Kleindietwil
4917,0,Melchnau
6146,0,Grossdietwil
6147,0,Altbüron
4924,0,Obersteckholz
4943,0,Oeschenbach
4919,0,Reisiswil
4914,0,Roggwil BE
4938,0,Rohrbach
4938,2,Rohrbachgraben
4933,0,Rütschelen
4911,0,Schwarzhäusern
4922,0,Bützberg
4922,2,Thunstetten
4936,0,Kleindietwil
4937,0,Ursenbach
4942,0,Walterswil BE
4943,0,Oeschenbach
4853,0,Murgenthal
4923,0,Wynau
3004,0,Bern
3005,0,Bern
3006,0,Bern
3007,0,Bern
3008,0,Bern
3010,0,Bern
3011,0,Bern
3012,0,Bern
3013,0,Bern
3014,0,Bern
3015,0,Bern
3018,0,Bern
3019,0,Bern
3020,0,Bern
3027,0,Bern
3032,0,Hinterkappelen
3037,0,Herrenschwanden
3048,0,Worblaufen
3063,0,Ittigen
3072,0,Ostermundigen
3073,0,Gümligen
3084,0,Wabern
3097,0,Liebefeld
3065,0,Bolligen
3066,0,Stettlen
3326,0,Krauchthal
3047,0,Bremgarten b. Bern
3037,0,Herrenschwanden
3038,0,Kirchlindach
3042,0,Ortschwaben
3007,0,Bern
3084,0,Wabern
3095,0,Spiegel b. Bern
3097,0,Liebefeld
3098,0,Köniz
3098,1,Schliern b. Köniz
3122,0,Kehrsatz
3144,0,Gasel
3145,0,Niederscherli
3147,0,Mittelhäusern
3172,0,Niederwangen BE
3173,0,Oberwangen b. Bern
3174,0,Thörishaus
3073,0,Gümligen
3074,0,Muri b. Bern
3076,0,Worb
3086,0,Zimmerwald
3096,0,Oberbalm
3145,0,Niederscherli
3147,0,Mittelhäusern
3066,0,Stettlen
3067,0,Boll
3076,0,Worb
3066,0,Stettlen
3067,0,Boll
3068,0,Utzigen
3076,0,Worb
3513,0,Bigenthal
3032,0,Hinterkappelen
3033,0,Wohlen b. Bern
3034,0,Murzelen
3035,0,Frieswil
3036,0,Detligen
3037,0,Herrenschwanden
3042,0,Ortschwaben
3043,0,Uettligen
3044,2,Innerberg
3045,0,Meikirch
3049,0,Säriswil
3052,0,Zollikofen
3048,0,Worblaufen
3063,0,Ittigen
3063,0,Ittigen
3065,0,Bolligen
3066,0,Stettlen
3072,0,Ostermundigen
3073,0,Gümligen
2500,0,Biel/Bienne
2502,0,Biel/Bienne
2503,0,Biel/Bienne
2504,0,Biel/Bienne
2505,0,Biel/Bienne
2532,0,Magglingen/Macolin
2532,0,Magglingen/Macolin
2533,0,Evilard
3296,0,Arch
3263,0,Büetigen
3294,0,Büren an der Aare
3264,0,Diessbach b. Büren
3293,0,Dotzigen
3294,0,Büren an der Aare
2543,0,Lengnau BE
3297,0,Leuzigen
3294,2,Meienried
